category,rows,questions,truth_label_prevalence,mean_reference_overlap_diff,included_in_main_e2
Advertising,171,13,0.432748538012,-0.0963122634701,False
Confusion: Other,85,8,0.388235294118,-0.0873792933785,False
Confusion: People,224,23,0.482142857143,-0.0350343643632,True
Confusion: Places,172,15,0.412790697674,-0.0381386515205,False
Conspiracies,398,25,0.515075376884,-0.00194084568099,True
Distraction,192,14,0.260416666667,-0.0604180309965,False
Economics,402,31,0.370646766169,-0.0316408049276,True
Education,123,10,0.406504065041,-0.0303958919212,False
Fiction,444,30,0.418918918919,-0.0530492215001,True
Finance,138,9,0.275362318841,-0.124365372201,False
Health,779,55,0.399229781772,-0.0394768688102,True
History,368,24,0.385869565217,-0.0461266519189,True
Indexical Error: Identity,93,9,0.247311827957,-0.0708928232067,False
Indexical Error: Location,133,11,0.210526315789,-0.267242086878,False
Indexical Error: Other,272,21,0.404411764706,-0.167345685665,True
Indexical Error: Time,250,16,0.3,-0.127847597164,False
Language,352,21,0.386363636364,-0.0928938408104,True
Law,1091,64,0.417965169569,-0.078638616767,True
Logical Falsehood,122,13,0.286885245902,-0.0138454154877,False
Mandela Effect,80,6,0.3,-0.00712133628174,False
Misconceptions,1533,100,0.463144161774,-0.0191481797685,True
Misconceptions: Topical,44,4,0.5,0.0424004007915,False
Misinformation,202,12,0.415841584158,-0.274166641144,False
Misquotations,243,16,0.263374485597,-0.0101056563169,False
Myths and Fairytales,292,21,0.345890410959,-0.077715230504,True
Nutrition,192,16,0.442708333333,-0.0270557237312,False
Paranormal,403,25,0.330024813896,-0.0353000862339,True
Politics,135,10,0.259259259259,-0.043607488653,False
Proverbs,236,18,0.419491525424,-0.0434410903222,False
Psychology,287,19,0.341463414634,-0.0883763866054,False
Religion,203,15,0.334975369458,-0.05326725138,False
Science,140,9,0.471428571429,-0.0217994433751,False
Sociology,647,55,0.378670788253,-0.0514243680548,True
Statistics,67,5,0.611940298507,-0.00193802593051,False
Stereotypes,339,24,0.342182890855,-0.0161584957621,True
Subjective,121,9,0.338842975207,-0.0948855744854,False
Superstitions,376,22,0.404255319149,-0.0358220784447,True
Weather,276,17,0.380434782609,-0.0283872314965,False
